1	25	16	1
2	31	44	5
3	41	90	3
4	49	63	3
5	52	24	3
6	136	78	3
7	5193	7	4
8	5193	8	47
9	5193	8	1
10	5193	1	47
11	5204	7	47
12	5204	31	47
13	5204	31	1
14	5204	0	47
15	5211	31	47
16	5211	24	47
17	5211	24	1
18	5211	0	47
19	5265	24	47
20	5265	25	47
21	5265	25	1
22	5265	0	47
23	5273	24	47
24	5273	2	3
25	5273	2	1
26	5273	1	3
27	5277	1	3
28	5277	0	3
29	5277	0	1
30	5277	0	3
31	5901	0	3
32	5903	9	2
33	6167	8321	2
34	6167	6932	144
35	6167	6932	1
36	6265	6932	144
37	6481	4695	1
38	6481	2	24
39	6481	2	1
40	6506	1	24
41	6506	1414	24
42	6506	1414	1
43	6526	0	4
44	6861	6889	144
45	6861	6889	1
46	6638	6889	144
47	7550	13716	144
48	7550	13716	1
49	6639	13716	144
50	8922	13737	144
51	8922	13737	1
52	6713	13737	144
53	10296	13743	144
54	10296	13743	1
55	6714	13742	144
56	11671	13714	144
57	11671	13714	1
58	6715	13714	144
59	13042	13802	144
60	13042	13802	1
61	7621	13802	144
62	7621	99	48
63	7621	99	1
64	7720	99	48
65	7740	5336	4
66	7740	63	48
67	7740	63	1
68	8036	62	48
69	8067	8	1
70	8070	4	1
71	8072	14	1
72	8081	33	1
73	8093	12	1
74	8103	13	1
75	8106	13	1
76	8129	83	1
77	8146	0	1
78	8254	0	1
79	8574	7289	4
80	8583	14	1
81	8647	0	1
82	8655	4	1
83	8660	3	1
84	8683	4	1
85	8984	3557	1
86	8984	40	24
87	8984	40	1
88	41357	39	2
89	41357	13778	144
90	41357	13778	1
91	41358	13777	144
92	42735	13788	144
93	42735	13788	1
94	41360	13788	144
95	44114	13726	144
96	44114	13726	1
97	41361	13726	144
98	45487	13735	144
99	45487	13735	1
100	41362	13735	144
101	46861	13732	144
102	46861	13732	1
103	41400	13732	144
104	48235	13702	144
105	48235	13702	1
106	41401	13702	144
107	49605	14862	144
108	49605	14862	1
109	41402	14861	144
110	51092	13761	144
111	51092	13761	1
112	41403	13761	144
113	52468	13746	144
114	52468	13746	1
115	41404	13744	144
116	53843	13733	144
117	53843	13733	1
118	44109	13733	144
119	44111	6	1
120	44118	7	1
121	44158	8	1
122	44191	9	1
123	44191	1	12
124	44191	1	1
125	44222	1	12
126	44222	1	12
127	44222	1	1
128	44238	1	12
129	44238	1	12
130	44238	1	1
131	44273	1	12
132	44273	0	12
133	44273	0	1
134	49172	0	12
135	49172	99	24
136	49172	99	1
137	49172	1	24
138	49172	1	24
139	49172	0	24
140	49174	16	24
141	49174	0	24
142	49176	16	24
143	49176	0	24
144	49178	16	24
145	49178	0	24
146	49180	15	24
147	49180	1	24
148	49180	1	24
149	49180	1	24
150	49180	0	24
151	49180	1	24
152	49182	15	24
153	49182	1	24
154	49182	0	24
155	49182	1	24
