timestamp,usedPEs,jobsRunning,JobsInLongQueue,JobsInMediumQueue
1.39802059825E9,24,1,0,0
1.39802419925E9,24,1,0,0
1.39802780125E9,24,1,0,0
1.39803140525E9,72,3,0,0
1.39803500925E9,48,2,0,0
1.39803861025E9,48,2,0,0
1.39804221225E9,72,3,0,0
1.39804581525E9,72,3,0,0
1.39804941625E9,48,2,0,0
1.39805301725E9,24,1,0,0
1.39805661925E9,24,1,0,0
1.39806022025E9,24,1,0,0
1.39806382525E9,24,1,0,0
1.39806742625E9,24,1,0,0
1.39807102825E9,24,1,0,0
1.39807463625E9,24,1,0,0
1.39807823725E9,24,1,0,0
1.39808184025E9,24,1,0,0
1.39808544225E9,24,1,0,0
1.39808904325E9,24,1,0,0
1.39809264525E9,24,1,0,0
1.39809625125E9,24,1,0,0
1.39809985225E9,24,1,0,0
1.39810345325E9,24,1,0,0
1.39810705525E9,24,1,0,0
1.39811066125E9,24,1,0,0
1.39811426525E9,24,1,0,0
1.39811786625E9,24,1,0,0
1.39812147025E9,24,1,0,0
1.39812507225E9,24,1,0,0
1.39812867425E9,24,1,0,0
1.39813227825E9,24,1,0,0
1.39813588025E9,24,1,0,0
1.39813948225E9,24,1,0,0
1.39814308425E9,24,1,0,0
1.39814668625E9,24,1,0,0
1.39815028725E9,24,1,0,0
1.39815389025E9,24,1,0,0
1.39815749225E9,24,1,0,0
1.39818245225E9,24,1,0,0
1.39819179225E9,72,3,0,0
1.39819668825E9,48,2,0,0
1.39820154325E9,60,2,0,0
1.39820549325E9,72,3,0,0
1.39820979225E9,72,3,0,0
1.39821594325E9,72,3,0,0
1.39821989325E9,72,3,0,0
1.39822395025E9,48,2,0,0
1.39822779225E9,48,2,0,0
1.39823394325E9,48,2,0,0
1.39823789325E9,48,2,0,0
1.39824195025E9,48,2,0,0
1.39824579225E9,12,1,0,0
1.39824944725E9,12,1,0,0
1.39826871325E9,1,1,0,0
1.39828070725E9,12,1,0,0
1.39828761725E9,24,2,0,0
1.39829217325E9,24,2,0,0
1.39829803825E9,36,3,0,0
1.39830182625E9,36,3,0,0
1.39830600525E9,218,6,0,0
1.39831243825E9,259,7,0,0
1.39831622625E9,259,7,0,0
1.39832040525E9,259,7,0,0
1.39832683825E9,259,7,0,0
1.39833062625E9,259,7,0,0
1.39833480525E9,259,7,0,0
